0, 1000000
1, 15357099
2, 9214259
3, 6142840
4, 166273
5, 99764
6, 66509
7, 183691
8, 110215
9, 73476
10, 67528
11, 40517
12, 27011
13, 163438
14, 98063
15, 65375
16, 43880
17, 26328
18, 17552
19, 38090
20, 22854
21, 15236
22, 21643
23, 12986
24, 8657
25, 423726
26, 254236
27, 169490
28, 72409
29, 43445
30, 28963
37, 118107
38, 70864
39, 47243
43, 223364
44, 134018
45, 89345
64, 19568
65, 11741
66, 7827
124, 30917
125, 18550
126, 12367
558, 1707
559, 1024
560, 683
600, 8177
601, 4906
602, 3271
1392, 8058
1393, 4835
1394, 3223
1398, 88220
1399, 52932
1400, 35288
1401, 1771
1402, 1063
1403, 708
1453, 219059
1454, 131435
1455, 87624
1456, 53579
1457, 32147
1458, 21432
1507, 5372689
1508, 3223613
1509, 2149076
1510, 1567551
1511, 940531
1512, 627020
1661, 4409
1662, 2645
1663, 1764
1685, 243
1686, 146
1687, 97
1697, 23794
1698, 14276
1699, 9518
1703, 4638
1704, 2783
1705, 1855
1709, 1968
1710, 1181
1711, 787
1712, 1329
1713, 797
1714, 531
1718, 15461303
1719, 9276782
1720, 6184521
1721, 6268483
1722, 3761090
1723, 2507393
1724, 2795813
1725, 1677488
1726, 1118325
1733, 194057
1734, 116434
1735, 77623
1741, 36508
1742, 21905
1743, 14603
1753, 114576
1754, 68745
1755, 45830
1756, 17366
1757, 10419
1758, 6946
1765, 32282
1766, 19369
1767, 12913
1768, 6457
1769, 3874
1770, 2583
1783, 217106
1784, 130263
1785, 86842
1786, 65887
1787, 39532
1788, 26355
1795, 0
1796, 0
1797, 0
1798, 3500
1799, 2100
1800, 1400
1810, 834612
1811, 500767
1812, 333845
1813, 175230
1814, 105138
1815, 70092
1816, 34708
1817, 20825
1818, 13883
1819, 22790
1820, 13674
1821, 9116
1834, 5807
1835, 3484
1836, 2323
1846, 2943
1847, 1766
1848, 1177
1849, 6057
1850, 3634
1851, 2423
1873, 181694
1874, 109016
1875, 72678
1876, 523694
1877, 314216
1878, 209477
1897, 17548
1898, 10529
1899, 7019
1911, 1852209
1912, 1111325
1913, 740884
1915, 501939
1916, 301163
1917, 200775
1918, 173708
1919, 104225
1920, 69483
1924, 61913
1925, 37148
1926, 24765
1939, 10241
1940, 6145
1941, 4096
1942, 274073
1943, 164444
1944, 109629
1945, 157917
1946, 94750
1947, 63167
1966, 7155
1967, 4293
1968, 2862
1972, 1442
1973, 865
1974, 577
1975, 669
1976, 401
1977, 267
1979, 1488
1980, 893
1981, 595
1983, 27902
1984, 16741
1985, 11161
1986, 194539
1987, 116723
1988, 77815
1992, 16321
1993, 9793
1994, 6528
2027, 324328
2028, 194597
2029, 129731
2043, 13566
2044, 8139
2045, 5426
2046, 82463
2047, 49478
2048, 32985
2052, 655733
2053, 393440
2054, 262293
2061, 401031
2062, 240618
2063, 160412
2082, 68901
2083, 41340
2084, 27560
2085, 11664
2086, 6998
2087, 4666
2100, 141481
2101, 84888
2102, 56592
2103, 17156
2104, 10294
2105, 6862
2106, 9788
2107, 5873
2108, 3915
2110, 8183
2111, 4910
2112, 3273
2113, 904
2114, 542
2115, 362
2122, 70873
2123, 42524
2124, 28349
2273, 7293
2274, 4376
2275, 2917
2284, 95228
2285, 57137
2286, 38091
