0, 1000000
1, 14986864
2, 8992118
3, 5994746
4, 149580
5, 89748
6, 59832
7, 165250
8, 99150
9, 66100
10, 60749
11, 36449
12, 24299
13, 147031
14, 88218
15, 58812
16, 39475
17, 23685
18, 15790
19, 34266
20, 20560
21, 13706
22, 19470
23, 11682
24, 7788
25, 394620
26, 236772
27, 157848
28, 98150
29, 58890
30, 39260
37, 106250
38, 63750
39, 42500
43, 200940
44, 120564
45, 80376
64, 17603
65, 10562
66, 7041
124, 27813
125, 16688
126, 11125
558, 1535
559, 921
560, 614
600, 8087
601, 4852
602, 3235
1392, 7552
1393, 4531
1394, 3021
1398, 79364
1399, 47618
1400, 31745
1401, 1593
1402, 956
1403, 637
1453, 228206
1454, 136923
1455, 91282
1456, 59318
1457, 35591
1458, 23727
1507, 5403871
1508, 3242323
1509, 2161548
1510, 1680748
1511, 1008449
1512, 672299
1661, 5988
1662, 3593
1663, 2395
1685, 219
1686, 131
1687, 87
1697, 21406
1698, 12843
1699, 8562
1703, 3793
1704, 2276
1705, 1517
1709, 1770
1710, 1062
1711, 708
1712, 1195
1713, 717
1714, 478
1718, 15131945
1719, 9079167
1720, 6052778
1721, 6128582
1722, 3677149
1723, 2451433
1724, 3452173
1725, 2071304
1726, 1380869
1733, 174575
1734, 104745
1735, 69830
1741, 38435
1742, 23061
1743, 15374
1753, 103073
1754, 61844
1755, 41229
1756, 15622
1757, 9373
1758, 6249
1765, 33607
1766, 20164
1767, 13443
1768, 9681
1769, 5809
1770, 3872
1783, 195310
1784, 117186
1785, 78124
1786, 59272
1787, 35563
1788, 23709
1795, 0
1796, 0
1797, 0
1798, 5159
1799, 3095
1800, 2064
1810, 819475
1811, 491685
1812, 327790
1813, 172659
1814, 103595
1815, 69063
1816, 35937
1817, 21562
1818, 14375
1819, 29820
1820, 17892
1821, 11928
1834, 8707
1835, 5224
1836, 3483
1846, 2647
1847, 1588
1848, 1059
1849, 5449
1850, 3269
1851, 2179
1873, 180350
1874, 108210
1875, 72140
1876, 481523
1877, 288914
1878, 192609
1897, 15786
1898, 9472
1899, 6314
1911, 1666264
1912, 999758
1913, 666505
1915, 451549
1916, 270929
1917, 180619
1918, 155969
1919, 93581
1920, 62388
1924, 55697
1925, 33418
1926, 22279
1939, 9213
1940, 5528
1941, 3685
1942, 246558
1943, 147935
1944, 98623
1945, 105901
1946, 63541
1947, 42360
1966, 10727
1967, 6436
1968, 4291
1972, 1957
1973, 1174
1974, 783
1975, 1002
1976, 601
1977, 401
1979, 1339
1980, 803
1981, 535
1983, 25101
1984, 15061
1985, 10040
1986, 175009
1987, 105005
1988, 70003
1992, 24471
1993, 14682
1994, 9788
2027, 288380
2028, 173028
2029, 115352
2043, 11631
2044, 6979
2045, 4652
2046, 123641
2047, 74184
2048, 49456
2052, 589903
2053, 353942
2054, 235961
2061, 435298
2062, 261179
2063, 174119
2082, 61984
2083, 37190
2084, 24793
2085, 10493
2086, 6296
2087, 4197
2100, 127277
2101, 76366
2102, 50911
2103, 15434
2104, 9260
2105, 6173
2106, 8805
2107, 5283
2108, 3522
2110, 6182
2111, 3709
2112, 2473
2113, 665
2114, 399
2115, 266
2122, 62622
2123, 37573
2124, 25049
