time,OSMO,REGEN
2021-07-25 06:00:00,806985842082.0,614341352321.0
2021-07-25 12:00:00,808062430627.0,615881160881.0
2021-07-25 18:00:00,816289692282.0,628499920202.0
2021-07-26 00:00:00,811814189504.0,637199749500.0
2021-07-26 06:00:00,808897858119.0,641299871787.0
2021-07-26 12:00:00,803307713186.0,648291181485.0
2021-07-26 18:00:00,801377169036.0,650070454085.0
2021-07-27 00:00:00,783757586957.0,671532244189.0
2021-07-27 06:00:00,786402705606.0,676957501140.0
2021-07-27 12:00:00,798750763366.0,686741542635.0
2021-07-27 18:00:00,799506737996.0,698661039194.0
2021-07-28 00:00:00,808856788640.0,704472515920.0
2021-07-28 06:00:00,817477657206.0,708588621817.0
2021-07-28 12:00:00,819594330058.0,709685693728.0
2021-07-28 18:00:00,837172807500.0,717462685739.0
2021-07-29 00:00:00,849201960385.0,732511072994.0
2021-07-29 06:00:00,853715213934.0,734501356201.0
2021-07-29 12:00:00,861849158137.0,735554796758.0
2021-07-29 18:00:00,868120307425.0,743052625629.0
2021-07-30 00:00:00,861573138560.0,757866605648.0
2021-07-30 06:00:00,864951960347.0,761146568624.0
2021-07-30 12:00:00,860720616684.0,768051558681.0
2021-07-30 18:00:00,878839451138.0,761008162358.0
2021-07-31 00:00:00,889322371435.0,764175244048.0
2021-07-31 06:00:00,897922906949.0,761463858761.0
2021-07-31 12:00:00,896026917170.0,763477904133.0
2021-07-31 18:00:00,898726935966.0,765382715414.0
2021-08-01 00:00:00,926992855579.0,751944599374.0
2021-08-01 06:00:00,927354823154.0,752202952105.0
2021-08-01 12:00:00,944291424100.0,740890384140.0
2021-08-01 18:00:00,934781434047.0,756526729314.0
2021-08-02 00:00:00,941402755974.0,757861936543.0
2021-08-02 06:00:00,942430266641.0,763326801757.0
2021-08-02 12:00:00,941935185373.0,765218518817.0
2021-08-02 18:00:00,957685254652.0,777371487160.0
2021-08-03 00:00:00,982114463855.0,791985215940.0
2021-08-03 06:00:00,983432166712.0,792643952569.0
2021-08-03 12:00:00,986791693792.0,790769820379.0
2021-08-03 18:00:00,989840054189.0,797728203675.0
2021-08-04 00:00:00,993212013190.0,825183905258.0
2021-08-04 06:00:00,996282009641.0,828404353340.0
2021-08-04 12:00:00,999613578298.0,828722140391.0
2021-08-04 18:00:00,970298512541.0,800976652161.0
2021-08-05 00:00:00,983065250568.0,812654900811.0
2021-08-05 06:00:00,988426244969.0,817079713770.0
2021-08-05 12:00:00,983301520353.0,821059412167.0
2021-08-05 18:00:00,994235953207.0,816727435270.0
2021-08-06 00:00:00,1022024905092.0,806569693909.0
2021-08-06 06:00:00,1026196713772.0,810164760777.0
2021-08-06 12:00:00,1027859842456.0,809960240430.0
2021-08-06 18:00:00,1036164819358.0,812508232428.0
2021-08-07 00:00:00,1034414981278.0,848026844421.0
2021-08-07 06:00:00,1028485927806.0,843540865597.0
2021-08-07 12:00:00,1037003512982.0,842942808045.0
2021-08-07 18:00:00,1034724873199.0,849465059837.0
2021-08-08 00:00:00,1039369704244.0,851582525397.0
2021-08-08 06:00:00,1061442737295.0,879419822290.0
2021-08-08 12:00:00,1066206255823.0,880960385013.0
2021-08-08 18:00:00,1066780077485.0,885014036173.0
2021-08-09 00:00:00,1076017001272.0,888670722712.0
2021-08-09 06:00:00,1078765662265.0,891106075313.0
2021-08-09 12:00:00,1079423575234.0,894118389177.0
2021-08-09 18:00:00,1086559586975.0,897391196545.0
2021-08-10 00:00:00,1093097475178.0,896676489386.0
2021-08-10 06:00:00,1095737527816.0,898165199178.0
2021-08-10 12:00:00,1095582271467.0,901188447147.0
2021-08-10 18:00:00,1105121405473.0,918467317836.0
2021-08-11 00:00:00,1127201583125.0,923625672182.0
2021-08-11 06:00:00,1134397077495.0,919886306625.0
2021-08-11 12:00:00,1125490362623.0,936244911900.0
2021-08-11 18:00:00,1125650428267.0,937763631729.0
2021-08-12 00:00:00,1140536444914.0,938792441741.0
2021-08-12 06:00:00,1192171067935.0,994026278405.0
2021-08-12 12:00:00,1194028879094.0,995550010994.0
2021-08-12 18:00:00,1194022592450.0,999534283828.0
2021-08-13 00:00:00,1188912439062.0,1012716685547.0
2021-08-13 06:00:00,1189938810026.0,1013585278570.0
2021-08-13 12:00:00,1194210062470.0,1014289511869.0
2021-08-13 18:00:00,1190881178580.0,1019212240340.0
2021-08-14 00:00:00,1182146861533.0,977696356757.0
2021-08-14 06:00:00,1186740702766.0,978403434742.0
2021-08-14 12:00:00,1187975521997.0,981310065461.0
2021-08-14 18:00:00,1182205152989.0,986825892553.0
2021-08-15 00:00:00,1188403177722.0,994078300281.0
2021-08-15 06:00:00,1189752340143.0,998644219129.0
2021-08-15 12:00:00,1189352321126.0,1001739024316.0
2021-08-15 18:00:00,1197487084048.0,1011215370608.0
2021-08-16 00:00:00,1217016030135.0,1020355906162.0
2021-08-16 06:00:00,1214132162083.0,1022975858841.0
2021-08-16 12:00:00,1222902066893.0,1036093342220.0
2021-08-16 18:00:00,1220934084761.0,1039395126325.0
2021-08-17 00:00:00,1217724251161.0,992097231630.0
2021-08-17 06:00:00,1217238729212.0,991466466467.0
2021-08-17 12:00:00,1218495292020.0,991818842794.0
2021-08-17 18:00:00,1219238217945.0,997724518265.0
2021-08-18 00:00:00,1234391352909.0,1005099925317.0
2021-08-18 06:00:00,1229795374807.0,1008050322516.0
2021-08-18 12:00:00,1227679696899.0,1010335767480.0
2021-08-18 18:00:00,1228266304001.0,1014490196617.0
2021-08-19 00:00:00,1232032012996.0,1023142955839.0
2021-08-19 06:00:00,1245207739859.0,1025370178830.0
2021-08-19 12:00:00,1239984735257.0,1029140162215.0
2021-08-19 18:00:00,1239792781925.0,1033108615188.0
2021-08-20 00:00:00,1223280502346.0,1057511596423.0
2021-08-20 06:00:00,1222203330574.0,1061403737181.0
2021-08-20 12:00:00,1217418563974.0,1065888216286.0
2021-08-20 18:00:00,1220856553476.0,1075140400885.0
2021-08-21 00:00:00,1236101280408.0,1071559772451.0
2021-08-21 06:00:00,1233714860631.0,1075861565909.0
2021-08-21 12:00:00,1232674642546.0,1078010084134.0
2021-08-21 18:00:00,1243043101985.0,1069311749832.0
2021-08-22 00:00:00,1261242165967.0,1083697113797.0
2021-08-22 06:00:00,1256377830328.0,1088137728848.0
2021-08-22 12:00:00,1255291202435.0,1090177738176.0
2021-08-22 18:00:00,1253639370954.0,1093809029129.0
2021-08-23 00:00:00,1260522602547.0,1094856481553.0
2021-08-23 06:00:00,1267834980758.0,1107578585971.0
2021-08-23 12:00:00,1260440598641.0,1116493511340.0
2021-08-23 18:00:00,1251986588534.0,1126720780332.0
2021-08-24 00:00:00,1258294814809.0,1124008319689.0
2021-08-24 06:00:00,1259251560607.0,1127362683399.0
2021-08-24 12:00:00,1259063014870.0,1130353710621.0
2021-08-24 18:00:00,1257318299829.0,1131212565265.0
2021-08-25 00:00:00,1267300862367.0,1134807955136.0
2021-08-25 06:00:00,1269469518996.0,1136751501994.0
2021-08-25 12:00:00,1266965199729.0,1140116815761.0
2021-08-25 18:00:00,1264098465884.0,1148447909849.0
2021-08-26 00:00:00,1286180737635.0,1157789585422.0
2021-08-26 06:00:00,1301130203053.0,1160889554884.0
2021-08-26 12:00:00,1301187025893.0,1160939431520.0
2021-08-26 18:00:00,1309212243860.0,1167452488588.0
2021-08-27 00:00:00,1255334314847.0,1137599249965.0
2021-08-27 06:00:00,1256107164333.0,1138238171704.0
2021-08-27 12:00:00,1253102302196.0,1139414424022.0
2021-08-27 18:00:00,1241586925064.0,1152001919153.0
