time,CRO,OSMO
2021-07-14 12:00:00,378232893464440.0,283640859879.0
2021-07-14 18:00:00,369160373288537.0,289689367039.0
2021-07-15 00:00:00,361313873386106.0,296418195941.0
2021-07-15 06:00:00,359690502687060.0,298119430419.0
2021-07-15 12:00:00,359943819919037.0,298399054451.0
2021-07-15 18:00:00,357343172150352.0,300610462809.0
2021-07-16 00:00:00,348989841192231.0,286557811061.0
2021-07-16 06:00:00,354604328271646.0,281060828510.0
2021-07-16 12:00:00,356546335932870.0,277759899217.0
2021-07-16 18:00:00,371335286238093.0,266521013973.0
2021-07-17 00:00:00,353390181008739.0,277198425404.0
2021-07-17 06:00:00,346787355519234.0,284305091334.0
2021-07-17 12:00:00,343325610810662.0,284429902266.0
2021-07-17 18:00:00,342845165656627.0,284138310144.0
2021-07-18 00:00:00,344218806803580.0,283267844724.0
2021-07-18 06:00:00,344998247288377.0,283346426841.0
2021-07-18 12:00:00,350373488023508.0,281439191784.0
2021-07-18 18:00:00,364658030644417.0,274635268323.0
2021-07-19 00:00:00,369562121210511.0,271731269265.0
2021-07-19 06:00:00,366676128555641.0,273910731732.0
2021-07-19 12:00:00,366318660274319.0,275891333132.0
2021-07-19 18:00:00,365495091197501.0,278351111276.0
2021-07-20 00:00:00,363621258422049.0,279467821330.0
2021-07-20 06:00:00,361203184967027.0,284569925656.0
2021-07-20 12:00:00,359646542461488.0,289988909728.0
2021-07-20 18:00:00,369357379292636.0,285499348228.0
2021-07-21 00:00:00,375482729055834.0,294537967022.0
2021-07-21 06:00:00,377716159555016.0,293445910457.0
2021-07-21 12:00:00,386447148514252.0,287759376951.0
2021-07-21 18:00:00,393160518307042.0,284483301387.0
2021-07-22 00:00:00,394864124298692.0,289584728820.0
2021-07-22 06:00:00,396461326512427.0,288231453733.0
2021-07-22 12:00:00,403511029807962.0,283568906940.0
2021-07-22 18:00:00,408769436263233.0,282009286504.0
2021-07-23 00:00:00,405841179478580.0,285998737847.0
2021-07-23 06:00:00,401346678866154.0,290579540008.0
2021-07-23 12:00:00,403626261142774.0,290989428579.0
2021-07-23 18:00:00,419436578126143.0,303370333350.0
2021-07-24 00:00:00,428740018577736.0,305059537991.0
2021-07-24 06:00:00,427540434544147.0,302827637840.0
2021-07-24 12:00:00,429577980399427.0,302983124676.0
2021-07-24 18:00:00,437960742616590.0,303163016544.0
2021-07-25 00:00:00,433323622850764.0,311227249996.0
2021-07-25 06:00:00,441875434851511.0,317507758248.0
2021-07-25 12:00:00,450376436096047.0,323275322849.0
2021-07-25 18:00:00,456156094745392.0,326591868470.0
2021-07-26 00:00:00,463177961595015.0,333109747797.0
2021-07-26 06:00:00,467004613829637.0,330943910668.0
2021-07-26 12:00:00,474467152126003.0,328683082776.0
2021-07-26 18:00:00,484399047267134.0,329554278156.0
2021-07-27 00:00:00,487921784470287.0,343345033621.0
2021-07-27 06:00:00,493900205148590.0,348006974823.0
2021-07-27 12:00:00,495649359443811.0,347133514348.0
2021-07-27 18:00:00,499280480265899.0,352157522433.0
2021-07-28 00:00:00,504672334138827.0,364267316891.0
2021-07-28 06:00:00,500098535027506.0,369817732056.0
2021-07-28 12:00:00,505216382152126.0,370796539249.0
2021-07-28 18:00:00,514820418400050.0,369988273528.0
2021-07-29 00:00:00,514565737544467.0,372817052515.0
2021-07-29 06:00:00,513207985619149.0,373428420537.0
2021-07-29 12:00:00,527260761262238.0,382426869667.0
2021-07-29 18:00:00,532885534889233.0,384738085227.0
2021-07-30 00:00:00,549307252970830.0,392882471452.0
2021-07-30 06:00:00,546597171600400.0,391233110810.0
2021-07-30 12:00:00,553777317754002.0,392839081627.0
2021-07-30 18:00:00,556610283375096.0,395949807203.0
2021-07-31 00:00:00,559921180585470.0,400040625802.0
2021-07-31 06:00:00,557730109365478.0,410925560111.0
2021-07-31 12:00:00,563956770583392.0,411250570406.0
2021-07-31 18:00:00,579474233492115.0,409632320426.0
2021-08-01 00:00:00,580544893208207.0,415229505868.0
2021-08-01 06:00:00,586505007975981.0,417709901795.0
2021-08-01 12:00:00,608487445895957.0,425140981675.0
2021-08-01 18:00:00,612005378236724.0,427519268625.0
2021-08-02 00:00:00,608994181217945.0,432989445506.0
2021-08-02 06:00:00,608104975307531.0,440145155337.0
2021-08-02 12:00:00,611215417752900.0,443422379424.0
2021-08-02 18:00:00,616415912503452.0,448479825392.0
2021-08-03 00:00:00,615331047228625.0,439822492674.0
2021-08-03 06:00:00,611756121589572.0,436883076821.0
2021-08-03 12:00:00,610333430185759.0,439830552635.0
2021-08-03 18:00:00,622197110645618.0,443210154785.0
2021-08-04 00:00:00,626554436649069.0,441893318186.0
2021-08-04 06:00:00,640750683282566.0,446627258295.0
2021-08-04 12:00:00,634740736674160.0,451598624745.0
2021-08-04 18:00:00,629785733909320.0,445465917728.0
2021-08-05 00:00:00,625731481395349.0,451369176023.0
2021-08-05 06:00:00,636893119794140.0,445699552751.0
2021-08-05 12:00:00,646759638815654.0,450039988697.0
2021-08-05 18:00:00,637842684427591.0,464485378547.0
2021-08-06 00:00:00,631864145180189.0,473300803882.0
2021-08-06 06:00:00,649811290909728.0,479474709648.0
2021-08-06 12:00:00,650572982583867.0,478907992328.0
2021-08-06 18:00:00,678883728925326.0,497538981007.0
2021-08-07 00:00:00,679813735412596.0,503340593623.0
2021-08-07 06:00:00,690770286440465.0,507816680183.0
2021-08-07 12:00:00,689426118082553.0,507483891311.0
2021-08-07 18:00:00,679285540003676.0,515682305704.0
2021-08-08 00:00:00,677817650886189.0,524388691704.0
2021-08-08 06:00:00,678959580492492.0,525627900610.0
2021-08-08 12:00:00,680204954731316.0,525491914133.0
2021-08-08 18:00:00,679108644224371.0,535146885119.0
2021-08-09 00:00:00,675299222847347.0,542334666638.0
2021-08-09 06:00:00,670108636754236.0,538406727825.0
2021-08-09 12:00:00,676522527482323.0,537974868355.0
2021-08-09 18:00:00,675752347181645.0,537875700716.0
2021-08-10 00:00:00,673093896052683.0,550283529650.0
2021-08-10 06:00:00,673301588682286.0,551330305698.0
2021-08-10 12:00:00,692501126276531.0,558158626585.0
2021-08-10 18:00:00,702323558690107.0,556200807315.0
2021-08-11 00:00:00,701119641770607.0,565138549225.0
2021-08-11 06:00:00,711584283990136.0,560120735396.0
2021-08-11 12:00:00,733111421271593.0,547831801295.0
2021-08-11 18:00:00,724626492978131.0,554587126740.0
2021-08-12 00:00:00,725132069109794.0,554290304002.0
2021-08-12 06:00:00,731436685543253.0,552520090442.0
2021-08-12 12:00:00,735834482635660.0,552354631551.0
