time,ATOM,REGEN
2021-08-17 06:00:00,393626103961.0,2237732816212.0
2021-08-17 12:00:00,393395037731.0,2241256205176.0
2021-08-17 18:00:00,394544536602.0,2235436687252.0
2021-08-18 00:00:00,394098632969.0,2238052442061.0
2021-08-18 06:00:00,397018453129.0,2221656365280.0
2021-08-18 12:00:00,397234115848.0,2220473103405.0
2021-08-18 18:00:00,398260051798.0,2214656157084.0
2021-08-19 00:00:00,393703228234.0,2240398434614.0
2021-08-19 06:00:00,393179227631.0,2241704247226.0
2021-08-19 12:00:00,393433271159.0,2240497011750.0
2021-08-19 18:00:00,394085430620.0,2237393751987.0
2021-08-20 00:00:00,397133215722.0,2221865797216.0
2021-08-20 06:00:00,398057288709.0,2216738207282.0
2021-08-20 12:00:00,396561710532.0,2225219895381.0
2021-08-20 18:00:00,396075749346.0,2227923834270.0
2021-08-21 00:00:00,394622545739.0,2236214646683.0
2021-08-21 06:00:00,395441262176.0,2232652133542.0
2021-08-21 12:00:00,395761616506.0,2230183230522.0
2021-08-21 18:00:00,393952436651.0,2240225871173.0
2021-08-22 00:00:00,398275607010.0,2234071316263.0
2021-08-22 06:00:00,397236456516.0,2240604260626.0
2021-08-22 12:00:00,396596834086.0,2244251991145.0
2021-08-22 18:00:00,396396898425.0,2245511046205.0
