time,ATOM,DVPN
2021-07-14 06:00:00,175790839468.0,255748940239660.0
2021-07-14 12:00:00,176433593819.0,255634455215658.0
2021-07-14 18:00:00,176689071278.0,258954608377013.0
2021-07-15 00:00:00,176622889158.0,259711505025012.0
2021-07-15 06:00:00,178716857174.0,259146132579455.0
2021-07-15 12:00:00,180363337047.0,259281258314687.0
2021-07-15 18:00:00,177977102899.0,260119600844201.0
2021-07-16 00:00:00,178408747910.0,259771343209593.0
2021-07-16 06:00:00,175732940872.0,258497862717245.0
2021-07-16 12:00:00,178284026009.0,260327019427156.0
2021-07-16 18:00:00,177883584420.0,261036434005621.0
2021-07-17 00:00:00,179165692471.0,259817332206424.0
2021-07-17 06:00:00,179712515971.0,259579064541286.0
2021-07-17 12:00:00,181034133855.0,259086147916637.0
2021-07-17 18:00:00,181464799548.0,258863811793485.0
2021-07-18 00:00:00,182438636139.0,260957077123557.0
2021-07-18 06:00:00,180806509121.0,260947652649814.0
2021-07-18 12:00:00,184123035172.0,259076002567010.0
2021-07-18 18:00:00,187567634540.0,258824501032298.0
2021-07-19 00:00:00,188521584202.0,258271195453255.0
2021-07-19 06:00:00,188435212714.0,258802467884443.0
2021-07-19 12:00:00,186665163516.0,259971953454543.0
2021-07-19 18:00:00,191361824898.0,260340159821906.0
2021-07-20 00:00:00,191241322572.0,261276783200843.0
2021-07-20 06:00:00,190856956500.0,261666910391754.0
2021-07-20 12:00:00,191351539306.0,261848762471318.0
2021-07-20 18:00:00,191692144912.0,264584963715242.0
2021-07-21 00:00:00,179398988437.0,272843767248184.0
2021-07-21 06:00:00,180042759750.0,272813735470615.0
2021-07-21 12:00:00,180309314188.0,272985383561900.0
2021-07-21 18:00:00,184377091350.0,275027844330700.0
2021-07-22 00:00:00,183816145447.0,275401863461064.0
2021-07-22 06:00:00,184202938852.0,275146365550088.0
2021-07-22 12:00:00,180749523738.0,278071210001937.0
2021-07-22 18:00:00,180688907608.0,280631411240829.0
