time,ATOM,CRO
2021-08-19 18:00:00,170360382808.0,2227991372262613.0
2021-08-20 00:00:00,173476455842.0,2185928015040060.0
2021-08-20 06:00:00,169107017377.0,2241786581586976.0
2021-08-20 12:00:00,171913228167.0,2209850150490041.0
2021-08-20 18:00:00,172603594725.0,2211415426888821.0
2021-08-21 00:00:00,172997014692.0,2132513382611333.0
2021-08-21 06:00:00,170435242832.0,2142335393820139.0
2021-08-21 12:00:00,161964726392.0,2231688198926282.0
2021-08-21 18:00:00,155281603920.0,2328745802411277.0
2021-08-22 00:00:00,158357767043.0,2280790509310329.0
2021-08-22 06:00:00,157361564562.0,2291861006596079.0
2021-08-22 12:00:00,157466437853.0,2298792212125157.0
2021-08-22 18:00:00,162327720979.0,2293241909065573.0
