time,ION,OSMO
2021-08-19 00:00:00,1173428004.0,274797223386.0
2021-08-19 06:00:00,1188595977.0,276324796571.0
2021-08-19 12:00:00,1184632769.0,279932926691.0
2021-08-19 18:00:00,1192651716.0,275803990900.0
2021-08-20 00:00:00,1196292426.0,281883266006.0
2021-08-20 06:00:00,1206100794.0,279609753202.0
2021-08-20 12:00:00,1208019301.0,277995897600.0
2021-08-20 18:00:00,1212557827.0,278466296937.0
2021-08-21 00:00:00,1216013720.0,280460695699.0
2021-08-21 06:00:00,1217316911.0,279718897058.0
2021-08-21 12:00:00,1218754571.0,278742130190.0
2021-08-21 18:00:00,1246595487.0,259781978617.0
2021-08-22 00:00:00,1248964874.0,262420346950.0
2021-08-22 06:00:00,1249116540.0,266051326071.0
2021-08-22 12:00:00,1255544854.0,265070139906.0
2021-08-22 18:00:00,1259315021.0,263585765172.0
