time,AKT,OSMO
2021-07-14 12:00:00,973480451876.0,1565834521415.0
2021-07-14 18:00:00,929519522797.0,1578292734031.0
2021-07-15 00:00:00,919469889160.0,1605361023185.0
2021-07-15 06:00:00,919986836107.0,1607347466687.0
2021-07-15 12:00:00,919548819801.0,1626371247336.0
2021-07-15 18:00:00,917616688445.0,1674018540453.0
2021-07-16 00:00:00,925277449084.0,1696538609802.0
2021-07-16 06:00:00,921381832538.0,1707692188723.0
2021-07-16 12:00:00,929974144762.0,1704356089515.0
2021-07-16 18:00:00,958131206310.0,1722324078539.0
2021-07-17 00:00:00,959668902170.0,1754705764309.0
2021-07-17 06:00:00,971378544202.0,1764235888495.0
2021-07-17 12:00:00,972970998448.0,1768984834786.0
2021-07-17 18:00:00,976011546014.0,1773796142860.0
2021-07-18 00:00:00,968499152877.0,1797193996962.0
2021-07-18 06:00:00,991425158653.0,1806674621273.0
2021-07-18 12:00:00,1005966834981.0,1799935887461.0
2021-07-18 18:00:00,1041352495978.0,1806541641915.0
2021-07-19 00:00:00,1073000444351.0,1855025074399.0
2021-07-19 06:00:00,1076850083160.0,1866954410834.0
2021-07-19 12:00:00,1080551152854.0,1870975685559.0
2021-07-19 18:00:00,1100314159486.0,1872916342337.0
2021-07-20 00:00:00,1112315817813.0,1888723936995.0
2021-07-20 06:00:00,1122006366407.0,1880107459834.0
2021-07-20 12:00:00,1144900731226.0,1844189164079.0
2021-07-20 18:00:00,1159713939247.0,1857992806309.0
2021-07-21 00:00:00,1169805421230.0,1871793622517.0
2021-07-21 06:00:00,1182849225709.0,1862580904917.0
2021-07-21 12:00:00,1202484007834.0,1842619090386.0
2021-07-21 18:00:00,1203099358799.0,1851076709655.0
2021-07-22 00:00:00,1206838286043.0,1863262523920.0
2021-07-22 06:00:00,1212135542606.0,1857461171997.0
2021-07-22 12:00:00,1217175979613.0,1830843883761.0
2021-07-22 18:00:00,1226329890008.0,1830410887998.0
2021-07-23 00:00:00,1193242325787.0,1768723900844.0
2021-07-23 06:00:00,1191987041893.0,1772914414184.0
2021-07-23 12:00:00,1191908587717.0,1780022231499.0
2021-07-23 18:00:00,1199228031666.0,1789646345392.0
