0, 10000
1, 373331
2, 70000
3, 23333
4, 14298
5, 2681
6, 894
7, 64195
8, 12037
9, 4012
10, 44648
11, 8372
12, 2791
13, 54762
14, 10268
15, 3423
16, 47532
17, 8912
18, 2971
19, 23407
20, 4389
21, 1463
22, 7313
23, 1371
24, 457
25, 35130
26, 6587
27, 2196
28, 17632
29, 3306
30, 1102
37, 35275
38, 6614
39, 2205
43, 35033
44, 6569
45, 2190
64, 18301
65, 3431
66, 1144
124, 20402
125, 3825
126, 1275
558, 508
559, 95
560, 32
600, 234
601, 44
602, 15
1398, 52
1399, 10
1400, 3
1401, 96
1402, 18
1403, 6
1453, 872
1454, 164
1455, 55
1456, 777
1457, 146
1458, 49
